,h5_path,sim_folder,param_folder,type,rbm,x0,y0,sigma,t_dec,dist,lam_psi,D_psi,v0,lam_p,D_p,gamma,alpha,rq,mu,dpsi,seed,Nb,area_psi,area_q,max_psi,has_diff
1803,outputs/differentiation_sweep/dist_pol_sig_1.5_rbm_0.6_x0_25.0_dpsi_30.0/sim_data_20260610_113621/data.h5,sim_data_20260610_113621,dist_pol_sig_1.5_rbm_0.6_x0_25.0_dpsi_30.0,pol,0.6,25.0,25.0,1.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,446988612,8.482300164692441,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1804,outputs/differentiation_sweep/dist_pol_sig_14.5_rbm_0.1_x0_25.0_dpsi_30.0/sim_data_20260610_222424/data.h5,sim_data_20260610_222424,dist_pol_sig_14.5_rbm_0.1_x0_25.0_dpsi_30.0,pol,0.1,25.0,25.0,14.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,622789083,110.66995174823847,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1837,outputs/differentiation_sweep/dist_pol_sig_12.5_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260610_202445/data.h5,sim_data_20260610_202445,dist_pol_sig_12.5_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,12.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,295774983,894.3866673566463,0.9999999999999738,0.0,0.9999999999999556,True
1841,outputs/differentiation_sweep/dist_pol_sig_14.0_rbm_0.1_x0_25.0_dpsi_30.0/sim_data_20260610_215309/data.h5,sim_data_20260610_215309,dist_pol_sig_14.0_rbm_0.1_x0_25.0_dpsi_30.0,pol,0.1,25.0,25.0,14.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1416198187,105.55833884916882,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1852,outputs/differentiation_sweep/dist_pol_sig_20.0_rbm_0.9_x0_25.0_dpsi_30.0/sim_data_20260612_124424/data.h5,sim_data_20260612_124424,dist_pol_sig_20.0_rbm_0.9_x0_25.0_dpsi_30.0,pol,0.9,25.0,25.0,20.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,550835968,1406.988549561702,0.99999999999996,0.0,0.9999999999999248,True
1857,outputs/differentiation_sweep/dist_pol_sig_7.0_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260610_133725/data.h5,sim_data_20260610_133725,dist_pol_sig_7.0_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,7.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,739611917,307.6562363998685,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1881,outputs/differentiation_sweep/dist_pol_sig_25.0_rbm_0.9_x0_25.0_dpsi_30.0/sim_data_20260612_132740/data.h5,sim_data_20260612_132740,dist_pol_sig_25.0_rbm_0.9_x0_25.0_dpsi_30.0,pol,0.9,25.0,25.0,25.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,561288219,1647.1619625285584,0.9999999999999616,0.0,0.9999999999999248,True
1886,outputs/differentiation_sweep/dist_pol_sig_8.0_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260610_145233/data.h5,sim_data_20260610_145233,dist_pol_sig_8.0_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,8.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1830958384,400.6902036448491,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1887,outputs/differentiation_sweep/dist_pol_sig_13.5_rbm_0.3_x0_25.0_dpsi_30.0/sim_data_20260610_212305/data.h5,sim_data_20260610_212305,dist_pol_sig_13.5_rbm_0.3_x0_25.0_dpsi_30.0,pol,0.3,25.0,25.0,13.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1472911130,300.9181832222189,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1900,outputs/differentiation_sweep/dist_pol_sig_13.5_rbm_0.1_x0_25.0_dpsi_30.0/sim_data_20260610_210909/data.h5,sim_data_20260610_210909,dist_pol_sig_13.5_rbm_0.1_x0_25.0_dpsi_30.0,pol,0.1,25.0,25.0,13.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,670955772,100.30606107407297,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1902,outputs/differentiation_sweep/dist_pol_sig_0.5_rbm_0.8_x0_25.0_dpsi_30.0/sim_data_20260610_102244/data.h5,sim_data_20260610_102244,dist_pol_sig_0.5_rbm_0.8_x0_25.0_dpsi_30.0,pol,0.8,25.0,25.0,0.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1690370337,1.2566370748833815,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1909,outputs/differentiation_sweep/dist_pol_sig_12.0_rbm_0.3_x0_25.0_dpsi_30.0/sim_data_20260610_192350/data.h5,sim_data_20260610_192350,dist_pol_sig_12.0_rbm_0.3_x0_25.0_dpsi_30.0,pol,0.3,25.0,25.0,12.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,329636490,251.58931920059658,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1911,outputs/differentiation_sweep/dist_pol_sig_14.0_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260610_220920/data.h5,sim_data_20260610_220920,dist_pol_sig_14.0_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,14.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1576496190,738.9083719441817,0.9999999999999732,0.0,0.9999999999999507,True
1931,outputs/differentiation_sweep/dist_pol_sig_12.5_rbm_0.6_x0_25.0_dpsi_30.0/sim_data_20260610_200940/data.h5,sim_data_20260610_200940,dist_pol_sig_12.5_rbm_0.6_x0_25.0_dpsi_30.0,pol,0.6,25.0,25.0,12.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1647370751,536.6320004139877,0.999999999999972,0.0,0.9999999999999488,True
