,h5_path,sim_folder,param_folder,type,rbm,x0,y0,sigma,t_dec,dist,lam_psi,D_psi,v0,lam_p,D_p,gamma,alpha,rq,mu,dpsi,seed,Nb,area_psi,area_q,max_psi,has_diff
2168,outputs/differentiation_sweep/dist_pol_sig_15.0_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260610_232319/data.h5,sim_data_20260610_232319,dist_pol_sig_15.0_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,15.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,311151716,578.1526788700356,0.9999999999999724,0.0,0.9999999999999467,True
2174,outputs/differentiation_sweep/dist_pol_sig_10.5_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260610_173825/data.h5,sim_data_20260610_173825,dist_pol_sig_10.5_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,10.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,906314020,334.4876423283829,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2182,outputs/differentiation_sweep/dist_pol_sig_14.5_rbm_0.6_x0_25.0_dpsi_30.0/sim_data_20260610_224027/data.h5,sim_data_20260610_224027,dist_pol_sig_14.5_rbm_0.6_x0_25.0_dpsi_30.0,pol,0.6,25.0,25.0,14.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,13569810,664.0197104894308,0.9999999999999727,0.0,0.9999999999999488,True
2188,outputs/differentiation_sweep/dist_pol_sig_11.5_rbm_0.1_x0_25.0_dpsi_30.0/sim_data_20260610_183834/data.h5,sim_data_20260610_183834,dist_pol_sig_11.5_rbm_0.1_x0_25.0_dpsi_30.0,pol,0.1,25.0,25.0,11.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,423848817,78.22654367916937,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2206,outputs/differentiation_sweep/dist_pol_sig_11.0_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260610_182219/data.h5,sim_data_20260610_182219,dist_pol_sig_11.0_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,11.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1990562948,362.7985158508376,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2216,outputs/differentiation_sweep/dist_pol_sig_2.5_rbm_0.2_x0_25.0_dpsi_30.0/sim_data_20260610_123640/data.h5,sim_data_20260610_123640,dist_pol_sig_2.5_rbm_0.2_x0_25.0_dpsi_30.0,pol,0.2,25.0,25.0,2.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1481869563,7.853981633974484,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2219,outputs/differentiation_sweep/dist_pol_sig_2.0_rbm_0.9_x0_25.0_dpsi_30.0/sim_data_20260610_122226/data.h5,sim_data_20260610_122226,dist_pol_sig_2.0_rbm_0.9_x0_25.0_dpsi_30.0,pol,0.9,25.0,25.0,2.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1415590760,22.619467105846514,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2230,outputs/differentiation_sweep/dist_pol_sig_12.5_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260610_202257/data.h5,sim_data_20260610_202257,dist_pol_sig_12.5_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,12.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1071951700,626.0706671496524,0.9999999999999727,0.0,0.9999999999999507,True
2235,outputs/differentiation_sweep/dist_pol_sig_20.0_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260612_124430/data.h5,sim_data_20260612_124430,dist_pol_sig_20.0_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,20.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,2056451425,1563.3206106241134,0.9999999999999607,0.0,0.9999999999999273,True
2239,outputs/differentiation_sweep/dist_pol_sig_12.0_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260610_193850/data.h5,sim_data_20260610_193850,dist_pol_sig_12.0_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,12.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,148565991,587.041744801392,0.9999999999999724,0.0,0.9999999999999507,True
2253,outputs/differentiation_sweep/dist_pol_sig_7.5_rbm_0.1_x0_25.0_dpsi_30.0/sim_data_20260610_133756/data.h5,sim_data_20260610_133756,dist_pol_sig_7.5_rbm_0.1_x0_25.0_dpsi_30.0,pol,0.1,25.0,25.0,7.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1233898589,35.28201761737199,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2262,outputs/differentiation_sweep/dist_pol_sig_8.5_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260610_152346/data.h5,sim_data_20260610_152346,dist_pol_sig_8.5_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,8.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,259934356,450.9882821223959,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2264,outputs/differentiation_sweep/dist_pol_sig_7.5_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260610_140835/data.h5,sim_data_20260610_140835,dist_pol_sig_7.5_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,7.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1789515365,352.82017617372,3.3306690738754696e-14,0.0,-0.9999999999999334,False
